Metric,Value
Analysis Date,2025-06-05T02:28:24.081765
Total Holdings,26
Total Investment,"₹410,595.96"
Current Value,"₹410,595.96"
Total P&L,₹0.00
P&L Percentage,0.00%
Target Return,0.01%
Time Horizon,2 days
