symbol,action,current_value,predicted_return,pnl_percent,reason,confidence
SGBAUG28V,SELL,4775.0,0,0.0,Below target return: 0.00%,LOW
SBICARD,SELL,7549.700000000001,0,0.0,Below target return: 0.00%,LOW
HINDUNILVR,SELL,33078.299999999996,0,0.0,Below target return: 0.00%,LOW
EMBASSY,SELL,11222.1,0,0.0,Below target return: 0.00%,LOW
KPITTECH,SELL,10152.06,0,0.0,Below target return: 0.00%,LOW
TATASTEEL,SELL,32583.0,0,0.0,Below target return: 0.00%,LOW
ICICIBANK,SELL,30497.600000000002,0,0.0,Below target return: 0.00%,LOW
M&M,SELL,8320.599999999999,0,0.0,Below target return: 0.00%,LOW
ITC,SELL,11542.0,0,0.0,Below target return: 0.00%,LOW
HEROMOTOCO,SELL,10416.6,0,0.0,Below target return: 0.00%,LOW
AXISBANK,SELL,13801.0,0,0.0,Below target return: 0.00%,LOW
NESTLEIND,SELL,87250.5,0,0.0,Below target return: 0.00%,LOW
IOC,SELL,19694.699999999997,0,0.0,Below target return: 0.00%,LOW
SONATSOFTW,SELL,7726.68,0,0.0,Below target return: 0.00%,LOW
BAJFINANCE,SELL,17055.449999999997,0,0.0,Below target return: 0.00%,LOW
PIDILITIND,SELL,34581.149999999994,0,0.0,Below target return: 0.00%,LOW
SUNDRMFAST,SELL,6788.8,0,0.0,Below target return: 0.00%,LOW
COALINDIA,SELL,19180.0,0,0.0,Below target return: 0.00%,LOW
NMDC,SELL,2602.5,0,0.0,Below target return: 0.00%,LOW
POWERGRID,SELL,7369.660000000001,0,0.0,Below target return: 0.00%,LOW
JIOFIN,SELL,2412.0,0,0.0,Below target return: 0.00%,LOW
MOTHERSON,SELL,6086.88,0,0.0,Below target return: 0.00%,LOW
ARE&M,SELL,9967.44,0,0.0,Below target return: 0.00%,LOW
ENDURANCE,SELL,8942.64,0,0.0,Below target return: 0.00%,LOW
HDFCNIFTY,SELL,2703.0,0,0.0,Below target return: 0.00%,LOW
HDFCSENSEX,SELL,4296.6,0,0.0,Below target return: 0.00%,LOW
