symbol,quantity,avg_price,current_price,pnl,pnl_percent,investment_value,current_value,exchange,instrument_type,isin,demat_free_quantity,predicted_return,confidence,recommendation,analysis_summary
SGBAUG28V,1.0,4775.0,4775.0,0.0,0.0,4775.0,4775.0,NSE,EQUITY,IN0020200161,1.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
SBICARD,10.0,754.97,942.0499877929688,1870.7998779296868,24.779790957649794,7549.700000000001,9420.499877929688,NSE,EQUITY,INE018E01016,10.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
HINDUNILVR,15.0,2205.22,2364.5,2389.2000000000044,7.222862118065332,33078.299999999996,35467.5,NSE,EQUITY,INE030A01027,15.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
EMBASSY,30.0,374.07,388.17999267578125,423.29978027343714,3.772019321458881,11222.1,11645.399780273438,NSE,EQUITY,INE041025011,30.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
KPITTECH,17.0,597.18,1318.300048828125,12259.040830078126,120.75421963698132,10152.06,22411.100830078125,NSE,EQUITY,INE04I401011,17.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
TATASTEEL,300.0,108.61,158.17999267578125,14870.997802734375,45.64035786371536,32583.0,47453.997802734375,NSE,EQUITY,INE081A01020,300.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
ICICIBANK,40.0,762.44,1431.0,26742.399999999998,87.68689995278316,30497.600000000002,57240.0,NSE,EQUITY,INE090A01021,40.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
M&M,10.0,832.06,3053.39990234375,22213.3990234375,266.9687164800315,8320.599999999999,30533.9990234375,NSE,EQUITY,INE101A01026,10.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
ITC,50.0,230.84,417.0,9308.0,80.64460232195461,11542.0,20850.0,NSE,EQUITY,INE154A01025,50.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
HEROMOTOCO,4.0,2604.15,4200.60009765625,6385.800390625,61.304076096087016,10416.6,16802.400390625,NSE,EQUITY,INE158A01026,4.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
AXISBANK,20.0,690.05,1171.0,9619.0,69.6978479820303,13801.0,23420.0,NSE,EQUITY,INE238A01034,20.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
NESTLEIND,50.0,1745.01,2397.5,32624.5,37.39176279792093,87250.5,119875.0,NSE,EQUITY,INE239A01024,50.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
IOC,237.0,83.1,140.6699981689453,13644.089566040042,69.27797613591497,19694.699999999997,33338.78956604004,NSE,EQUITY,INE242A01010,237.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
SONATSOFTW,26.0,297.18,412.3500061035156,2994.420158691406,38.7542923829045,7726.68,10721.100158691406,NSE,EQUITY,INE269A01021,26.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
BAJFINANCE,3.0,5685.15,8987.0,9905.550000000003,58.07850276597806,17055.449999999997,26961.0,NSE,EQUITY,INE296A01024,3.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
PIDILITIND,15.0,2305.41,3095.300048828125,11848.35073242188,34.26245434990416,34581.149999999994,46429.500732421875,NSE,EQUITY,INE318A01026,15.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
SUNDRMFAST,8.0,848.6,995.0,1171.1999999999998,17.251944378977136,6788.8,7960.0,NSE,EQUITY,INE387A01021,8.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
COALINDIA,100.0,191.8,394.6000061035156,20280.000610351562,105.73514395386634,19180.0,39460.00061035156,NSE,EQUITY,INE522F01014,100.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
NMDC,150.0,17.35,70.3499984741211,7949.999771118164,305.47549552807544,2602.5,10552.499771118164,NSE,EQUITY,INE584A01023,150.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
POWERGRID,46.0,160.21,288.54998779296875,5903.639438476562,80.10735147179872,7369.660000000001,13273.299438476562,NSE,EQUITY,INE752E01010,46.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
JIOFIN,20.0,120.6,290.3500061035156,3395.0001220703125,140.75456559163817,2412.0,5807.0001220703125,NSE,EQUITY,INE758E01017,20.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
MOTHERSON,54.0,112.72,152.7100067138672,2159.460362548828,35.47729481357983,6086.88,8246.340362548828,NSE,EQUITY,INE775A01035,54.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
ARE&M,17.0,586.32,998.5,7007.0599999999995,70.29949515622867,9967.44,16974.5,NSE,EQUITY,INE885A01032,17.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
ENDURANCE,6.0,1490.44,2453.89990234375,5780.759414062501,64.64264930783864,8942.64,14723.3994140625,NSE,EQUITY,INE913H01037,6.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
HDFCNIFTY,15.0,180.2,273.7799987792969,1403.6999816894531,51.931186891951654,2703.0,4106.699981689453,NSE,EQUITY,INF179KC1965,15.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
HDFCSENSEX,70.0,61.38,90.6500015258789,2048.900106811523,47.68654533378771,4296.6,6345.500106811523,NSE,EQUITY,INF179KC1HX2,70.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
